item,itemLabel,directorLabel,genreLabel,runtime,pubdate,sampledItemLabel
http://www.wikidata.org/entity/Q104902930,The Manor,Axelle Carolyn,horror film,81,2021-01-01T00:00:00Z,The Manor
http://www.wikidata.org/entity/Q108195856,A Sexplanation,Alex Liu,documentary film,81,2021-01-01T00:00:00Z,A Sexplanation
http://www.wikidata.org/entity/Q108941268,Blood Conscious,Timothy Covell,horror film,81,2021-01-01T00:00:00Z,Blood Conscious
http://www.wikidata.org/entity/Q108941302,Dashcam,Christian Nilsson,thriller film,81,2021-01-01T00:00:00Z,Dashcam
http://www.wikidata.org/entity/Q110820116,A Love Song,Max Walker-Silverman,drama film,81,2022-01-20T00:00:00Z,A Love Song
http://www.wikidata.org/entity/Q111582482,Ouija Shark,Brett Kelly,supernatural horror film,81,2020-03-07T00:00:00Z,Ouija Shark
http://www.wikidata.org/entity/Q111699750,Bad Witch,Victor Fink,comedy film,81,2021-01-01T00:00:00Z,Bad Witch
http://www.wikidata.org/entity/Q112243024,"Andrea Motis, la trompeta silenciosa",Ramon Tort,documentary film,81,2018-01-01T00:00:00Z,"Andrea Motis, la trompeta silenciosa"
http://www.wikidata.org/entity/Q64373496,Slasher Party,Tony Villalobos,horror film,80,2019-01-01T00:00:00Z,Slasher Party
http://www.wikidata.org/entity/Q65077628,Unlovable,Suzi Yoonessi,musical film,80,2018-03-10T00:00:00Z,Unlovable
http://www.wikidata.org/entity/Q65552665,Scooby-Doo! Return to Zombie Island,Ethan Spaulding,comedy horror,80,2019-01-01T00:00:00Z,Scooby-Doo! Return to Zombie Island
http://www.wikidata.org/entity/Q65922738,Bliss,Joe Begos,horror film,80,2019-04-27T00:00:00Z,Bliss
http://www.wikidata.org/entity/Q73696429,The Onania Club,Tom Six,drama film,80,2019-01-01T00:00:00Z,The Onania Club
http://www.wikidata.org/entity/Q75842710,Elephant Path: Njaia Njoku,Todd McGrain,documentary film,80,2018-01-01T00:00:00Z,Elephant Path: Njaia Njoku
http://www.wikidata.org/entity/Q84366495,Mortal Kombat Legends: Scorpion's Revenge,Ethan Spaulding,action film,80,2020-01-01T00:00:00Z,Mortal Kombat Legends: Scorpion's Revenge
http://www.wikidata.org/entity/Q121832829,Truman & Tennessee: An Intimate Conversation,Lisa Immordino Vreeland,documentary film,81,2020-01-01T00:00:00Z,Truman & Tennessee: An Intimate Conversation
http://www.wikidata.org/entity/Q16998136,Moshi Monsters: The Movie,Lee Seok-hoon,children's film,81,2018-01-01T00:00:00Z,Moshi Monsters: The Movie
http://www.wikidata.org/entity/Q97179805,Isabelle,Rob Heydon,horror film,80,2018-01-01T00:00:00Z,Isabelle
http://www.wikidata.org/entity/Q105043566,A Woman's Work: The NFL's Cheerleader Problem,Yu Gu,documentary film,80,2019-01-01T00:00:00Z,A Woman's Work: The NFL's Cheerleader Problem
http://www.wikidata.org/entity/Q106298594,Stay Out of the Attic,Jerren Lauder,horror film,80,2020-01-01T00:00:00Z,Stay Out of the Attic
http://www.wikidata.org/entity/Q39072243,Sweetheart,J. D. Dillard,horror film,82,2019-01-01T00:00:00Z,Sweetheart
http://www.wikidata.org/entity/Q107404660,Anya,Carylanna Taylor,drama film,80,2019-01-01T00:00:00Z,Anya
http://www.wikidata.org/entity/Q108361099,Mortal Kombat Legends: Battle of the Realms,Ethan Spaulding,martial arts film,80,2021-08-31T00:00:00Z,Mortal Kombat Legends: Battle of the Realms
http://www.wikidata.org/entity/Q110101912,Final Kill,Justin Lee,action film,80,2020-01-01T00:00:00Z,Final Kill
http://www.wikidata.org/entity/Q112079278,Satan & Adam,V. Scott Balcerek,documentary film,80,2018-01-01T00:00:00Z,Satan & Adam
http://www.wikidata.org/entity/Q112228325,The Case of: Dakota Moore,Amy Cay,found footage,80,2022-07-01T00:00:00Z,The Case of: Dakota Moore
http://www.wikidata.org/entity/Q112262093,1001 Nights Apart,Sarvnaz Alambeigi,documentary film,80,2022-05-05T00:00:00Z,1001 Nights Apart
http://www.wikidata.org/entity/Q27703179,The Legacy of a Whitetail Deer Hunter,Jody Hill,comedy film,83,2018-03-01T00:00:00Z,The Legacy of a Whitetail Deer Hunter
http://www.wikidata.org/entity/Q55753268,Itzhak,Alison Chernick,documentary film,82,2018-08-09T00:00:00Z,Itzhak
http://www.wikidata.org/entity/Q56308839,Children of the Corn: Runaway,John Gulager,horror film,82,2018-01-01T00:00:00Z,Children of the Corn: Runaway
http://www.wikidata.org/entity/Q64139597,Echo In the Canyon,Andrew Slater,documentary film,82,2018-09-20T00:00:00Z,Echo In the Canyon
http://www.wikidata.org/entity/Q67171112,The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,behind-the-scenes,82,2019-08-31T00:00:00Z,The Crystal Calls Making the Dark Crystal: Age of Resistance
http://www.wikidata.org/entity/Q55612154,Furlough,Laurie Collyer,comedy drama,83,2018-01-01T00:00:00Z,Furlough
http://www.wikidata.org/entity/Q61642150,The Proposal,Jill Magid,documentary film,83,2018-04-22T00:00:00Z,The Proposal
http://www.wikidata.org/entity/Q62595528,The Legend of Cocaine Island,Theo Love,documentary film,83,2018-01-01T00:00:00Z,The Legend of Cocaine Island
http://www.wikidata.org/entity/Q64015161,Between Two Ferns: The Movie,Scott Aukerman,comedy film,83,2019-01-01T00:00:00Z,Between Two Ferns: The Movie
http://www.wikidata.org/entity/Q64678948,After Midnight,Jeremy Gardner,horror film,83,2019-04-26T00:00:00Z,After Midnight
http://www.wikidata.org/entity/Q65054511,Shadow in the Cloud,Roseanne Liang,action film,83,2020-09-12T00:00:00Z,Shadow in the Cloud
http://www.wikidata.org/entity/Q66826883,Zuzana: Music is Life,Peter Getzels,documentary film,83,2019-11-07T00:00:00Z,Zuzana: Music is Life
http://www.wikidata.org/entity/Q87186038,Don’t Tell a Soul,Alex McAulay,thriller film,83,2020-01-01T00:00:00Z,Don’t Tell a Soul
http://www.wikidata.org/entity/Q93096991,The Witcher: Nightmare of the Wolf,Kwang Il Han,action anime and manga,83,2021-01-01T00:00:00Z,The Witcher: Nightmare of the Wolf
http://www.wikidata.org/entity/Q96406177,Spelling the Dream,Sam Rega,documentary film,83,2020-01-01T00:00:00Z,Spelling the Dream
http://www.wikidata.org/entity/Q99574186,Horror Noire: A History of Black Horror,Xavier Burgin,documentary film,83,2019-02-07T00:00:00Z,Horror Noire: A History of Black Horror
